iter	Passed	Remaining
0	133	133216
1	134	66866
2	135	45055
3	136	33868
4	136	27236
5	137	22760
6	138	19583
7	139	17314
8	140	15484
9	141	14028
10	143	12860
11	143	11821
12	144	10938
13	144	10183
14	145	9559
15	146	9018
16	147	8526
17	148	8104
18	149	7725
19	150	7360
20	151	7066
21	153	6807
22	153	6522
23	154	6297
24	155	6079
25	156	5860
26	157	5659
27	157	5483
28	158	5318
29	159	5153
30	159	4994
31	160	4859
32	161	4724
33	162	4613
34	163	4518
35	164	4407
36	165	4295
37	166	4210
38	167	4128
39	168	4045
40	169	3955
41	170	3889
42	171	3807
43	172	3742
44	174	3693
45	175	3631
46	175	3566
47	177	3524
48	179	3474
49	180	3424
50	180	3366
51	182	3318
52	183	3271
53	184	3231
54	185	3190
55	186	3147
56	187	3103
57	188	3067
58	189	3026
59	190	2981
60	191	2951
61	192	2909
62	193	2881
63	194	2847
64	196	2819
65	197	2792
66	198	2762
67	199	2729
68	199	2696
69	200	2661
70	201	2639
71	202	2613
72	203	2588
73	204	2563
74	205	2532
75	206	2507
76	207	2489
77	208	2461
78	209	2445
79	211	2429
80	211	2403
81	212	2376
82	212	2352
83	214	2337
84	215	2320
85	216	2296
86	217	2278
87	217	2254
88	218	2241
89	219	2221
90	220	2205
91	222	2192
92	223	2179
93	224	2164
94	225	2152
95	227	2139
96	228	2128
97	229	2116
98	231	2105
99	232	2092
100	233	2077
101	234	2062
102	235	2050
103	236	2041
104	237	2028
105	239	2016
106	240	2007
107	241	1996
108	243	1986
109	243	1974
110	245	1966
111	246	1956
112	248	1947
113	249	1937
114	249	1922
115	251	1913
116	252	1903
117	252	1888
118	254	1881
119	255	1873
120	256	1864
121	257	1856
122	258	1843
123	259	1834
124	260	1826
125	261	1815
126	262	1805
127	263	1792
128	264	1786
129	265	1779
130	266	1770
131	268	1764
132	269	1758
133	271	1751
134	272	1745
135	273	1738
136	274	1729
137	275	1718
138	275	1708
139	276	1700
140	278	1694
141	279	1687
142	280	1683
143	281	1672
144	282	1666
145	283	1658
146	284	1650
147	285	1645
148	287	1640
149	288	1635
150	289	1626
151	290	1619
152	291	1614
153	292	1608
154	294	1605
155	295	1596
156	296	1592
157	297	1583
158	298	1577
159	299	1572
160	300	1567
161	301	1561
162	302	1555
163	304	1550
164	305	1546
165	307	1543
166	308	1537
167	309	1534
168	311	1531
169	312	1527
170	314	1523
171	315	1517
172	317	1515
173	318	1512
174	319	1507
175	320	1502
176	322	1497
177	323	1493
178	324	1487
179	325	1480
180	326	1475
181	327	1471
182	328	1467
183	329	1463
184	331	1458
185	332	1453
186	332	1446
187	334	1442
188	335	1437
189	336	1435
190	338	1431
191	339	1428
192	340	1424
193	342	1420
194	343	1417
195	344	1413
196	346	1412
197	347	1406
198	347	1399
199	348	1395
200	349	1390
